id,submission_text,stakeholder_type
82,"The timelines are unrealistic and will create enforcement issues; the amendment needs substantial revision. This amendment, in its present form, will place disproportionate burdens on local vendors and small service providers. The cost estimates do not take into account the operational realities for micro-enterprises and therefore risk stifling competition. (See clause 11.)",Industry
83,"This proposal will disadvantage consumers and concentrate compliance costs on micro and small enterprises. This amendment, in its present form, will place disproportionate burdens on local vendors and small service providers. The cost estimates do not take into account the operational realities for micro-enterprises and therefore risk stifling competition.",Consumer Association
84,We have mixed views: supportive of the objectives but concerned about operational complexity.,Industry
85,"It appears balanced in parts; however, the fiscal impact on small businesses is unclear.",Citizen
86,Neutral: the amendment seems reasonable but further detail on implementation timelines would help. (See clause 11.),Citizen
87,I support the proposed amendment — it clarifies responsibilities and will improve compliance for small businesses. Please consider a phased rollout for small enterprises.,SME
88,We welcome the clarification in clause 4. It will reduce ambiguity and assist MSMEs to comply without heavy costs.,Industry
89,We welcome the clarification in clause 4. It will reduce ambiguity and assist MSMEs to comply without heavy costs.,Citizen
90,Neutral: the amendment seems reasonable but further detail on implementation timelines would help. Please include a public FAQ and an implementation timeline.,SME
91,The definition changes in clause 2 are problematic and may lead to unintended legal consequences.,SME
92,The draft is vague and introduces heavy administrative burdens; please reconsider the reporting requirements. We also request a clear grievance redressal mechanism.,Academia
93,The definition changes in clause 2 are problematic and may lead to unintended legal consequences.,Consumer Association
94,The proposal is complex; we have no firm position until an impact assessment is published.,SME
95,The timelines are unrealistic and will create enforcement issues; the amendment needs substantial revision.,Academia
96,"We welcome the clarification in clause 4. It will reduce ambiguity and assist MSMEs to comply without heavy costs. As a consumer advocate group, we believe the proposed amendment strikes the right balance between protecting personal data and allowing legitimate business use. We particularly support the retention limits introduced in Article 6, which are proportionate and evidence-based.",Consumer Association
97,This draft is a step in the right direction; the measures to protect user privacy are balanced and practical. Can the authorities publish an impact assessment? (See clause 1.),Academia
98,The timelines are unrealistic and will create enforcement issues; the amendment needs substantial revision.,Industry
99,No strong view at this time; request clarification on clause 7 and guidance materials. Can the authorities publish an impact assessment?,Industry
100,"It appears balanced in parts; however, the fiscal impact on small businesses is unclear. This will require guidance for implementation at the state level.",Industry
101,We strongly oppose this amendment. It will increase costs for small retailers and harm MSMEs. Please consider a phased rollout for small enterprises.,Local Government
102,This change encourages innovation while maintaining consumer safeguards — a thoughtful approach. The changes to reporting exceptions are welcome. Under the current system small firms struggle with ambiguous rules; this amendment provides clarity that will lower compliance costs and improve uptake of digital services.,SME
103,"This proposal will disadvantage consumers and concentrate compliance costs on micro and small enterprises. This amendment, in its present form, will place disproportionate burdens on local vendors and small service providers. The cost estimates do not take into account the operational realities for micro-enterprises and therefore risk stifling competition. This will require guidance for implementation at the state level.",NGO
104,The definition changes in clause 2 are problematic and may lead to unintended legal consequences.,Local Government
105,This change encourages innovation while maintaining consumer safeguards — a thoughtful approach. The changes to reporting exceptions are welcome. Under the current system small firms struggle with ambiguous rules; this amendment provides clarity that will lower compliance costs and improve uptake of digital services.,Academia
106,The amendments address the key concerns raised earlier; we strongly support adoption as written.,SME
107,The definition changes in clause 2 are problematic and may lead to unintended legal consequences. (See clause 2.),Academia
108,This change encourages innovation while maintaining consumer safeguards — a thoughtful approach.,Academia
109,This draft is a step in the right direction; the measures to protect user privacy are balanced and practical.,NGO
110,"The timelines are unrealistic and will create enforcement issues; the amendment needs substantial revision. This amendment, in its present form, will place disproportionate burdens on local vendors and small service providers. The cost estimates do not take into account the operational realities for micro-enterprises and therefore risk stifling competition. This will require guidance for implementation at the state level.",Academia
111,No strong view at this time; request clarification on clause 7 and guidance materials. Please include a public FAQ and an implementation timeline.,Academia
112,The amendments address the key concerns raised earlier; we strongly support adoption as written. Can the authorities publish an impact assessment?,Industry
113,We welcome the clarification in clause 4. It will reduce ambiguity and assist MSMEs to comply without heavy costs. Please consider a phased rollout for small enterprises.,Industry
114,We have mixed views: supportive of the objectives but concerned about operational complexity.,SME
115,This draft is a step in the right direction; the measures to protect user privacy are balanced and practical. Can the authorities publish an impact assessment?,Industry
116,The amendments address the key concerns raised earlier; we strongly support adoption as written.,Consumer Association
117,We have mixed views: supportive of the objectives but concerned about operational complexity.,Local Government
118,The timelines are unrealistic and will create enforcement issues; the amendment needs substantial revision.,SME
119,The amendments address the key concerns raised earlier; we strongly support adoption as written. We also request a clear grievance redressal mechanism.,NGO
120,I support the proposed amendment — it clarifies responsibilities and will improve compliance for small businesses. We also request a clear grievance redressal mechanism. (See clause 2.),Local Government
